file,course_number,course_name,instructor,year,term,num_respondents,The instructor's teaching effectiveness is:,The intellectual challenge of this course is:,The teaching assistant for this course is:,Feedback on my work for this course is useful:,"Compared to other Hopkins courses at this level, the workload for this course is:"
EN_601_467_01_FA19 Introduction to Human Language Technology Koehn_ Philipp 2019 Fall Computer Science 29 of 31  responded _93_55__ Download PDF.pdf,EN.601.467,Introduction to Human Language Technology,Philipp Koehn,2019,Fall,29,"[(1, 11), (2, 13), (3, 20), (4, 14), (5, 13), (0, 12)]","[(1, 5), (2, 11), (3, 24), (4, 24), (5, 18), (0, 1)]","[(1, 5), (2, 6), (3, 21), (4, 16), (5, 23), (0, 11)]","[(1, 13), (2, 11), (3, 12), (4, 35), (5, 9), (0, 2)]","[(1, 5), (2, 30), (3, 36), (4, 7), (5, 1), (0, 2)]"
EN_601_464_01_FA19 Artificial Intelligence Van Durme_ Benjamin 2019 Fall Computer Science 39 of 39  responded _100_00__ Download PDF.pdf,EN.601.464,Artificial Intelligence,Benjamin Van Durme,2019,Fall,39,"[(1, 8), (2, 7), (3, 17), (4, 29), (5, 9), (0, 1)]","[(1, 2), (2, 3), (3, 16), (4, 35), (5, 14), (0, 1)]","[(1, 3), (2, 3), (3, 13), (4, 21), (5, 15), (0, 16)]","[(1, 10), (2, 6), (3, 20), (4, 27), (5, 7), (0, 0)]","[(1, 2), (2, 13), (3, 36), (4, 15), (5, 3), (0, 1)]"
EN_601_455_01_FA19 Computer Integrated Surgery I Taylor_ Russell 2019 Fall Computer Science 20 of 21  responded _95_24__ Download PDF.pdf,EN.601.455,Computer Integrated Surgery I,Russell Taylor,2019,Fall,20,"[(1, 5), (2, 11), (3, 14), (4, 10), (5, 11), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 14), (5, 35), (0, 0)]","[(1, 2), (2, 1), (3, 3), (4, 21), (5, 23), (0, 2)]","[(1, 1), (2, 4), (3, 7), (4, 24), (5, 14), (0, 2)]","[(1, 0), (2, 0), (3, 3), (4, 15), (5, 32), (0, 2)]"
EN_601_464_01_FA19 Artificial Intelligence Sedoc_ Joao 2019 Fall Computer Science 39 of 39  responded _100_00__ Download PDF.pdf,EN.601.464,Artificial Intelligence,Joao Sedoc,2019,Fall,39,"[(1, 6), (2, 6), (3, 19), (4, 30), (5, 10), (0, 0)]","[(1, 2), (2, 3), (3, 16), (4, 35), (5, 14), (0, 1)]","[(1, 3), (2, 3), (3, 13), (4, 21), (5, 15), (0, 16)]","[(1, 10), (2, 6), (3, 20), (4, 27), (5, 7), (0, 0)]","[(1, 2), (2, 13), (3, 36), (4, 15), (5, 3), (0, 1)]"
EN_601_461_01_FA19 Computer Vision Hager_ Gregory 2019 Fall Computer Science 35 of 36  responded _97_22__ Download PDF.pdf,EN.601.461,Computer Vision,Gregory Hager,2019,Fall,35,"[(1, 1), (2, 1), (3, 7), (4, 15), (5, 10), (0, 1)]","[(1, 0), (2, 0), (3, 2), (4, 17), (5, 15), (0, 1)]","[(1, 2), (2, 1), (3, 10), (4, 10), (5, 2), (0, 10)]","[(1, 2), (2, 11), (3, 6), (4, 11), (5, 2), (0, 2)]","[(1, 0), (2, 0), (3, 12), (4, 19), (5, 1), (0, 2)]"
EN_601_447_02_FA19 Computational Genomics_ Sequences Solomon_ Brad 2019 Fall Computer Science 10 of 11  responded _90_91__ Download PDF.pdf,EN.601.447,Computational Genomics: Sequences,Brad Solomon,2019,Fall,10,"[(1, 0), (2, 0), (3, 4), (4, 5), (5, 18), (0, 2)]","[(1, 0), (2, 1), (3, 2), (4, 6), (5, 19), (0, 1)]","[(1, 0), (2, 0), (3, 3), (4, 9), (5, 12), (0, 5)]","[(1, 0), (2, 0), (3, 3), (4, 9), (5, 16), (0, 1)]","[(1, 0), (2, 2), (3, 16), (4, 7), (5, 3), (0, 1)]"
EN_601_440_01_FA19 Web Security Cao_ Yinzhi 2019 Fall Computer Science 6 of 6  responded _100_00__ Download PDF.pdf,EN.601.440,Web Security,Yinzhi Cao,2019,Fall,6,"[(1, 0), (2, 0), (3, 2), (4, 10), (5, 8), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 12), (5, 6), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 5), (5, 7), (0, 4)]","[(1, 0), (2, 0), (3, 4), (4, 9), (5, 7), (0, 0)]","[(1, 0), (2, 2), (3, 13), (4, 5), (5, 0), (0, 0)]"
EN_601_444_01_FA19 Network Security Nielson_ Seth 2019 Fall Computer Science 5 of 5  responded _100_00__ Download PDF.pdf,EN.601.444,Network Security,Seth Nielson,2019,Fall,5,"[(1, 2), (2, 0), (3, 3), (4, 8), (5, 19), (0, 0)]","[(1, 0), (2, 0), (3, 4), (4, 8), (5, 20), (0, 0)]","[(1, 0), (2, 1), (3, 5), (4, 9), (5, 17), (0, 0)]","[(1, 1), (2, 4), (3, 3), (4, 8), (5, 14), (0, 2)]","[(1, 0), (2, 0), (3, 6), (4, 18), (5, 8), (0, 0)]"
EN_601_421_01_FA19 Object Oriented Software Engineering Facchinetti_ Leandro 2019 Fall Computer Science 64 of 64  responded _100_00__ Download PDF.pdf,EN.601.421,Object Oriented Software Engineering,Leandro Facchinetti,2019,Fall,64,"[(1, 7), (2, 6), (3, 11), (4, 20), (5, 36), (0, 0)]","[(1, 5), (2, 6), (3, 13), (4, 28), (5, 29), (0, 0)]","[(1, 6), (2, 7), (3, 14), (4, 17), (5, 27), (0, 9)]","[(1, 8), (2, 4), (3, 17), (4, 31), (5, 21), (0, 0)]","[(1, 0), (2, 1), (3, 22), (4, 30), (5, 28), (0, 0)]"
EN_601_417_01_FA19 Distributed Systems Amir_ Yair 2019 Fall Computer Science 16 of 16  responded _100_00__ Download PDF.pdf,EN.601.417,Distributed Systems,Yair Amir,2019,Fall,16,"[(1, 0), (2, 1), (3, 1), (4, 5), (5, 22), (0, 0)]","[(1, 0), (2, 1), (3, 0), (4, 3), (5, 25), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 2), (5, 27), (0, 0)]","[(1, 0), (2, 1), (3, 1), (4, 3), (5, 24), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 9), (5, 18), (0, 1)]"
EN_601_318_01_FA19 Operating Systems Huang_ Peng 2019 Fall Computer Science 14 of 15  responded _93_33__ Download PDF.pdf,EN.601.318,Operating Systems,Peng Huang,2019,Fall,14,"[(1, 1), (2, 1), (3, 1), (4, 6), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 3), (5, 11), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 7), (5, 3), (0, 4)]","[(1, 1), (2, 1), (3, 1), (4, 5), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 12), (0, 0)]"
EN_601_290_01_FA19 User Interfaces and Mobile Applications Selinski_ Joanne 2019 Fall Computer Science 20 of 21  responded _95_24__ Download PDF.pdf,EN.601.290,User Interfaces and Mobile Applications,Joanne Selinski,2019,Fall,20,"[(1, 1), (2, 2), (3, 4), (4, 6), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 7), (4, 7), (5, 6), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 9), (5, 9), (0, 0)]","[(1, 0), (2, 2), (3, 2), (4, 11), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 13), (4, 6), (5, 1), (0, 0)]"
EN_601_382_01_FA19 Deep Learning Lab Wu_ Jie Ying 2019 Fall Computer Science 19 of 20  responded _95_00__ Download PDF.pdf,EN.601.382,Deep Learning Lab,Jie Ying Wu,2019,Fall,19,"[(1, 0), (2, 0), (3, 2), (4, 4), (5, 13), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 8), (5, 11), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 5), (0, 13)]","[(1, 0), (2, 2), (3, 2), (4, 12), (5, 3), (0, 0)]","[(1, 1), (2, 4), (3, 8), (4, 6), (5, 0), (0, 0)]"
EN_601_231_01_FA19 Automata _ Computation Theory Kosaraju_ S 2019 Fall Computer Science 52 of 54  responded _96_30__ Download PDF.pdf,EN.601.231,Automata & Computation Theory,S Kosaraju,2019,Fall,52,"[(1, 1), (2, 1), (3, 8), (4, 22), (5, 20), (0, 0)]","[(1, 1), (2, 0), (3, 6), (4, 22), (5, 23), (0, 0)]","[(1, 10), (2, 6), (3, 7), (4, 7), (5, 6), (0, 16)]","[(1, 7), (2, 8), (3, 7), (4, 24), (5, 4), (0, 1)]","[(1, 0), (2, 5), (3, 28), (4, 13), (5, 6), (0, 0)]"
EN_601_229_01_FA19 Computer System Fundamentals Koehn_ Philipp 2019 Fall Computer Science 81 of 83  responded _97_59__ Download PDF.pdf,EN.601.229,Computer System Fundamentals,Philipp Koehn,2019,Fall,81,"[(1, 9), (2, 17), (3, 28), (4, 20), (5, 7), (0, 0)]","[(1, 0), (2, 4), (3, 20), (4, 39), (5, 18), (0, 0)]","[(1, 2), (2, 4), (3, 12), (4, 16), (5, 24), (0, 22)]","[(1, 3), (2, 12), (3, 26), (4, 27), (5, 8), (0, 2)]","[(1, 0), (2, 1), (3, 30), (4, 33), (5, 15), (0, 0)]"
EN_601_220_01_FA19 Intermediate Programming Hovemeyer_ David 2019 Fall Computer Science 26 of 32  responded _81_25__ Download PDF.pdf,EN.601.220,Intermediate Programming,David Hovemeyer,2019,Fall,26,"[(1, 1), (2, 0), (3, 5), (4, 12), (5, 8), (0, 0)]","[(1, 1), (2, 1), (3, 1), (4, 11), (5, 12), (0, 0)]","[(1, 0), (2, 0), (3, 4), (4, 8), (5, 8), (0, 6)]","[(1, 0), (2, 4), (3, 6), (4, 14), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 11), (5, 12), (0, 0)]"
EN_601_226_01_FA19 Data Structures Selinski_ Joanne 2019 Fall Computer Science 77 of 81  responded _95_06__ Download PDF.pdf,EN.601.226,Data Structures,Joanne Selinski,2019,Fall,77,"[(1, 2), (2, 2), (3, 10), (4, 31), (5, 28), (0, 2)]","[(1, 0), (2, 1), (3, 6), (4, 31), (5, 36), (0, 2)]","[(1, 0), (2, 0), (3, 1), (4, 21), (5, 25), (0, 28)]","[(1, 1), (2, 5), (3, 12), (4, 37), (5, 19), (0, 2)]","[(1, 0), (2, 0), (3, 29), (4, 36), (5, 9), (0, 2)]"
EN_601_220_03_FA19 Intermediate Programming Darvish Darab_ Mohammad 2019 Fall Computer Science 32 of 32  responded _100_00__ Download PDF.pdf,EN.601.220,Intermediate Programming,Mohammad Darvish Darab,2019,Fall,32,"[(1, 3), (2, 4), (3, 10), (4, 11), (5, 4), (0, 0)]","[(1, 0), (2, 1), (3, 3), (4, 14), (5, 13), (0, 1)]","[(1, 2), (2, 0), (3, 3), (4, 8), (5, 10), (0, 9)]","[(1, 3), (2, 7), (3, 4), (4, 12), (5, 5), (0, 1)]","[(1, 0), (2, 1), (3, 2), (4, 12), (5, 17), (0, 0)]"
EN_601_457_01_FA19 Computer Graphics Kazhdan_ Michael 2019 Fall Computer Science 27 of 27  responded _100_00__ Download PDF.pdf,EN.601.457,Computer Graphics,Michael Kazhdan,2019,Fall,27,"[(1, 0), (2, 0), (3, 2), (4, 10), (5, 26), (0, 1)]","[(1, 0), (2, 0), (3, 1), (4, 12), (5, 26), (0, 0)]","[(1, 0), (2, 3), (3, 3), (4, 4), (5, 12), (0, 17)]","[(1, 1), (2, 5), (3, 7), (4, 15), (5, 11), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 19), (5, 17), (0, 0)]"
EN_601_104_01_FA19 Computer Ethics Leschke_ Timothy 2019 Fall Computer Science 18 of 18  responded _100_00__ Download PDF.pdf,EN.601.104,Computer Ethics,Timothy Leschke,2019,Fall,18,"[(1, 1), (2, 6), (3, 9), (4, 0), (5, 1), (0, 0)]","[(1, 3), (2, 3), (3, 8), (4, 2), (5, 0), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 0), (5, 1), (0, 14)]","[(1, 2), (2, 0), (3, 7), (4, 1), (5, 0), (0, 5)]","[(1, 5), (2, 7), (3, 2), (4, 0), (5, 0), (0, 1)]"
EN_601_433_01_FA19 Intro Algorithms Dinitz_ Michael 2019 Fall Computer Science 83 of 85  responded _97_65__ Download PDF.pdf,EN.601.433,Intro Algorithms,Michael Dinitz,2019,Fall,83,"[(1, 2), (2, 5), (3, 19), (4, 30), (5, 60), (0, 1)]","[(1, 2), (2, 1), (3, 5), (4, 23), (5, 84), (0, 2)]","[(1, 1), (2, 3), (3, 8), (4, 24), (5, 57), (0, 23)]","[(1, 5), (2, 8), (3, 15), (4, 48), (5, 36), (0, 2)]","[(1, 1), (2, 0), (3, 17), (4, 53), (5, 42), (0, 2)]"
EN_601_442_01_FA19 Modern Cryptography Jain_ Abhishek 2019 Fall Computer Science 6 of 6  responded _100_00__ Download PDF.pdf,EN.601.442,Modern Cryptography,Abhishek Jain,2019,Fall,6,"[(1, 1), (2, 1), (3, 1), (4, 6), (5, 9), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 3), (5, 16), (0, 0)]","[(1, 1), (2, 0), (3, 0), (4, 4), (5, 13), (0, 1)]","[(1, 1), (2, 1), (3, 4), (4, 5), (5, 7), (0, 1)]","[(1, 0), (2, 3), (3, 6), (4, 5), (5, 4), (0, 1)]"
EN_601_447_01_FA19 Computational Genomics_ Sequences Langmead_ Benjamin 2019 Fall Computer Science 32 of 32  responded _100_00__ Download PDF.pdf,EN.601.447,Computational Genomics: Sequences,Benjamin Langmead,2019,Fall,32,"[(1, 0), (2, 0), (3, 0), (4, 3), (5, 43), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 17), (5, 26), (0, 0)]","[(1, 0), (2, 2), (3, 3), (4, 14), (5, 15), (0, 10)]","[(1, 0), (2, 0), (3, 3), (4, 17), (5, 25), (0, 0)]","[(1, 0), (2, 4), (3, 30), (4, 11), (5, 1), (0, 0)]"
EN_601_452_01_FA19 Computational Biomedical Research Schatz_ Michael 2019 Fall Computer Science 7 of 7  responded _100_00__ Download PDF.pdf,EN.601.452,Computational Biomedical Research,Michael Schatz,2019,Fall,7,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 6), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 6), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 3), (5, 4), (0, 0)]","[(1, 1), (2, 3), (3, 3), (4, 0), (5, 0), (0, 0)]"
EN_601_231_02_FA19 Automata _ Computation Theory Kosaraju_ S 2019 Fall Computer Science 45 of 45  responded _100_00__ Download PDF.pdf,EN.601.231,Automata & Computation Theory,S Kosaraju,2019,Fall,45,"[(1, 2), (2, 6), (3, 5), (4, 16), (5, 16), (0, 0)]","[(1, 1), (2, 0), (3, 4), (4, 22), (5, 18), (0, 0)]","[(1, 6), (2, 5), (3, 7), (4, 5), (5, 6), (0, 16)]","[(1, 4), (2, 7), (3, 9), (4, 18), (5, 5), (0, 0)]","[(1, 0), (2, 2), (3, 28), (4, 10), (5, 2), (0, 1)]"
EN_601_415_01_FA19 Databases Yarowsky_ David 2019 Fall Computer Science 12 of 12  responded _100_00__ Download PDF.pdf,EN.601.415,Databases,David Yarowsky,2019,Fall,12,"[(1, 9), (2, 16), (3, 15), (4, 12), (5, 6), (0, 0)]","[(1, 3), (2, 7), (3, 19), (4, 22), (5, 7), (0, 0)]","[(1, 0), (2, 3), (3, 8), (4, 11), (5, 34), (0, 2)]","[(1, 1), (2, 14), (3, 9), (4, 25), (5, 10), (0, 0)]","[(1, 0), (2, 2), (3, 27), (4, 21), (5, 9), (0, 0)]"
EN_601_340_01_FA19 Web Security Cao_ Yinzhi 2019 Fall Computer Science 7 of 7  responded _100_00__ Download PDF.pdf,EN.601.340,Web Security,Yinzhi Cao,2019,Fall,7,"[(1, 0), (2, 0), (3, 3), (4, 1), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 4), (5, 1), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 4), (5, 1), (0, 1)]","[(1, 0), (2, 3), (3, 0), (4, 1), (5, 2), (0, 0)]","[(1, 0), (2, 3), (3, 1), (4, 2), (5, 0), (0, 0)]"
EN_601_315_01_FA19 Databases Yarowsky_ David 2019 Fall Computer Science 39 of 39  responded _100_00__ Download PDF.pdf,EN.601.315,Databases,David Yarowsky,2019,Fall,39,"[(1, 8), (2, 10), (3, 9), (4, 6), (5, 5), (0, 0)]","[(1, 3), (2, 2), (3, 10), (4, 16), (5, 8), (0, 0)]","[(1, 0), (2, 1), (3, 6), (4, 4), (5, 26), (0, 2)]","[(1, 6), (2, 8), (3, 11), (4, 4), (5, 8), (0, 1)]","[(1, 0), (2, 3), (3, 20), (4, 14), (5, 2), (0, 0)]"
EN_601_418_01_FA19 Operating Systems Huang_ Peng 2019 Fall Computer Science 10 of 10  responded _100_00__ Download PDF.pdf,EN.601.418,Operating Systems,Peng Huang,2019,Fall,10,"[(1, 0), (2, 0), (3, 3), (4, 6), (5, 9), (0, 1)]","[(1, 0), (2, 0), (3, 1), (4, 3), (5, 14), (0, 1)]","[(1, 0), (2, 0), (3, 2), (4, 4), (5, 9), (0, 4)]","[(1, 0), (2, 2), (3, 3), (4, 5), (5, 7), (0, 1)]","[(1, 0), (2, 0), (3, 2), (4, 4), (5, 11), (0, 1)]"
EN_601_226_02_FA19 Data Structures Madooei_ Ali 2019 Fall Computer Science 39 of 40  responded _97_50__ Download PDF.pdf,EN.601.226,Data Structures,Ali Madooei,2019,Fall,39,"[(1, 0), (2, 1), (3, 1), (4, 4), (5, 33), (0, 0)]","[(1, 0), (2, 1), (3, 5), (4, 13), (5, 19), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 5), (5, 17), (0, 14)]","[(1, 1), (2, 4), (3, 2), (4, 14), (5, 16), (0, 1)]","[(1, 0), (2, 0), (3, 14), (4, 18), (5, 5), (0, 1)]"
EN_601_229_02_FA19 Computer System Fundamentals Hovemeyer_ David 2019 Fall Computer Science 40 of 41  responded _97_56__ Download PDF.pdf,EN.601.229,Computer System Fundamentals,David Hovemeyer,2019,Fall,40,"[(1, 0), (2, 1), (3, 4), (4, 18), (5, 16), (0, 1)]","[(1, 0), (2, 2), (3, 9), (4, 18), (5, 11), (0, 0)]","[(1, 2), (2, 0), (3, 3), (4, 5), (5, 9), (0, 21)]","[(1, 3), (2, 7), (3, 8), (4, 16), (5, 4), (0, 2)]","[(1, 1), (2, 1), (3, 13), (4, 16), (5, 8), (0, 0)]"
EN_601_220_04_FA19 Intermediate Programming Darvish Darab_ Mohammad 2019 Fall Computer Science 30 of 30  responded _100_00__ Download PDF.pdf,EN.601.220,Intermediate Programming,Mohammad Darvish Darab,2019,Fall,30,"[(1, 1), (2, 2), (3, 8), (4, 11), (5, 8), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 9), (5, 17), (0, 1)]","[(1, 1), (2, 1), (3, 2), (4, 4), (5, 10), (0, 11)]","[(1, 1), (2, 3), (3, 2), (4, 14), (5, 8), (0, 2)]","[(1, 0), (2, 0), (3, 2), (4, 8), (5, 19), (0, 1)]"
EN_601_104_02_FA19 Computer Ethics Leschke_ Timothy 2019 Fall Computer Science 17 of 17  responded _100_00__ Download PDF.pdf,EN.601.104,Computer Ethics,Timothy Leschke,2019,Fall,17,"[(1, 0), (2, 3), (3, 7), (4, 4), (5, 2), (0, 0)]","[(1, 1), (2, 2), (3, 10), (4, 3), (5, 0), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 2), (5, 0), (0, 13)]","[(1, 1), (2, 3), (3, 7), (4, 2), (5, 0), (0, 3)]","[(1, 6), (2, 5), (3, 4), (4, 0), (5, 0), (0, 1)]"
EN_601_714_01_FA19 Advanced Computer Networks Jin_ Xin 2019 Fall Computer Science 12 of 12  responded _100_00__ Download PDF.pdf,EN.601.714,Advanced Computer Networks,Xin Jin,2019,Fall,12,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 10), (0, 0)]","[(1, 0), (2, 1), (3, 1), (4, 2), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 1), (5, 9), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 1), (5, 5), (0, 2)]","[(1, 0), (2, 3), (3, 7), (4, 0), (5, 0), (0, 1)]"
EN_601_778_01_FA19 Advanced Topics in Causal Inference Shpitser_ Ilya 2019 Fall Computer Science 8 of 9  responded _88_89__ Download PDF.pdf,EN.601.778,Advanced Topics in Causal Inference,Ilya Shpitser,2019,Fall,8,"[(1, 0), (2, 0), (3, 0), (4, 2), (5, 6), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 2), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 2), (0, 5)]","[(1, 0), (2, 1), (3, 1), (4, 1), (5, 4), (0, 1)]","[(1, 0), (2, 1), (3, 6), (4, 1), (5, 0), (0, 0)]"
EN_601_220_02_FA19 Intermediate Programming Hovemeyer_ David 2019 Fall Computer Science 32 of 32  responded _100_00__ Download PDF.pdf,EN.601.220,Intermediate Programming,David Hovemeyer,2019,Fall,32,"[(1, 0), (2, 1), (3, 3), (4, 12), (5, 16), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 15), (5, 14), (0, 0)]","[(1, 1), (2, 1), (3, 4), (4, 4), (5, 11), (0, 11)]","[(1, 1), (2, 3), (3, 3), (4, 17), (5, 8), (0, 0)]","[(1, 1), (2, 0), (3, 5), (4, 18), (5, 7), (0, 1)]"
EN_601_745_01_FA19 Advanced Topics in Applied Cryptography Green_ Matthew 2019 Fall Computer Science 10 of 10  responded _100_00__ Download PDF.pdf,EN.601.745,Advanced Topics in Applied Cryptography,Matthew Green,2019,Fall,10,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 8), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 2), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 0), (0, 7)]","[(1, 0), (2, 0), (3, 1), (4, 4), (5, 3), (0, 0)]","[(1, 0), (2, 5), (3, 0), (4, 3), (5, 0), (0, 0)]"
EN_601_661_01_FA19 Computer Vision Shen_ Wei 2019 Fall Computer Science 51 of 54  responded _94_44__ Download PDF.pdf,EN.601.661,Computer Vision,Wei Shen,2019,Fall,51,"[(1, 1), (2, 5), (3, 11), (4, 13), (5, 21), (0, 0)]","[(1, 0), (2, 0), (3, 4), (4, 21), (5, 26), (0, 0)]","[(1, 0), (2, 3), (3, 5), (4, 12), (5, 25), (0, 6)]","[(1, 1), (2, 1), (3, 8), (4, 19), (5, 19), (0, 1)]","[(1, 0), (2, 3), (3, 32), (4, 10), (5, 3), (0, 1)]"
EN_601_634_01_FA19 Randomized and Big Data Algorithms Braverman_ Vladimir 2019 Fall Computer Science 20 of 20  responded _100_00__ Download PDF.pdf,EN.601.634,Randomized and Big Data Algorithms,Vladimir Braverman,2019,Fall,20,"[(1, 0), (2, 1), (3, 2), (4, 5), (5, 12), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 7), (5, 13), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 3), (5, 9), (0, 5)]","[(1, 0), (2, 2), (3, 2), (4, 4), (5, 10), (0, 2)]","[(1, 0), (2, 2), (3, 12), (4, 3), (5, 0), (0, 3)]"
EN_601_627_01_FA19 Principles of Programming Languages II Smith_ Scott 2019 Fall Computer Science 4 of 4  responded _100_00__ Download PDF.pdf,EN.601.627,Principles of Programming Languages II,Scott Smith,2019,Fall,4,"[(1, 0), (2, 0), (3, 0), (4, 1), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 2), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 1), (0, 3)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 4), (4, 0), (5, 0), (0, 0)]"
EN_601_622_01_FA19 Software Testing _ Debugging Darvish Darab_ Mohammad 2019 Fall Computer Science 23 of 23  responded _100_00__ Download PDF.pdf,EN.601.622,Software Testing & Debugging,Mohammad Darvish Darab,2019,Fall,23,"[(1, 0), (2, 0), (3, 10), (4, 8), (5, 3), (0, 1)]","[(1, 0), (2, 3), (3, 10), (4, 6), (5, 2), (0, 1)]","[(1, 0), (2, 0), (3, 6), (4, 6), (5, 3), (0, 7)]","[(1, 1), (2, 1), (3, 4), (4, 7), (5, 7), (0, 2)]","[(1, 0), (2, 0), (3, 5), (4, 7), (5, 9), (0, 1)]"
EN_601_630_01_FA19 Combinatorics _ Graph Theory in Computer Science Li_ Xin 2019 Fall Computer Science 10 of 11  responded _90_91__ Download PDF.pdf,EN.601.630,Combinatorics & Graph Theory in Computer Science,Xin Li,2019,Fall,10,"[(1, 0), (2, 0), (3, 0), (4, 2), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 10), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 1), (0, 8)]","[(1, 0), (2, 0), (3, 0), (4, 2), (5, 7), (0, 1)]","[(1, 0), (2, 0), (3, 7), (4, 1), (5, 1), (0, 1)]"
EN_601_643_01_FA19 Security _ Privacy in Computing Rubin_ Aviel 2019 Fall Computer Science 29 of 29  responded _100_00__ Download PDF.pdf,EN.601.643,Security & Privacy in Computing,Aviel Rubin,2019,Fall,29,"[(1, 0), (2, 0), (3, 3), (4, 3), (5, 22), (0, 0)]","[(1, 1), (2, 0), (3, 1), (4, 6), (5, 20), (0, 0)]","[(1, 3), (2, 2), (3, 8), (4, 8), (5, 8), (0, 0)]","[(1, 1), (2, 0), (3, 5), (4, 10), (5, 13), (0, 0)]","[(1, 1), (2, 0), (3, 2), (4, 11), (5, 15), (0, 0)]"
EN_601_677_01_FA19 Causal Inference Shpitser_ Ilya 2019 Fall Computer Science 14 of 15  responded _93_33__ Download PDF.pdf,EN.601.677,Causal Inference,Ilya Shpitser,2019,Fall,14,"[(1, 0), (2, 1), (3, 2), (4, 3), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 3), (5, 11), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 1), (5, 12), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 3), (5, 8), (0, 2)]","[(1, 0), (2, 0), (3, 4), (4, 5), (5, 4), (0, 1)]"
EN_601_201_13_IN20 An Introduction to Connectomics Johnson_ Erik 2020 Intersession Computer Science 15 of 17  responded _88_24__ Download PDF.pdf,EN.601.201,An Introduction to Connectomics,Erik Johnson,2020,Intersession,15,"[(1, 0), (2, 1), (3, 0), (4, 6), (5, 8), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 4), (5, 8), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 0), (5, 0), (0, 14)]","[(1, 0), (2, 1), (3, 3), (4, 6), (5, 4), (0, 1)]","[(1, 0), (2, 2), (3, 4), (4, 8), (5, 1), (0, 0)]"
EN_601_177_13_IN20 Should Susan Smoke_ An Introduction to Causal Inference Nabi Abdolyousefi_ Razieh 2020 Intersession Computer Science 7 of 9  responded _77_78__ Download PDF.pdf,EN.601.177,Should Susan Smoke: An Introduction to Causal Inference,Razieh Nabi Abdolyousefi,2020,Intersession,7,"[(1, 0), (2, 0), (3, 0), (4, 4), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 4), (5, 1), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (0, 7)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 4), (0, 3)]","[(1, 3), (2, 2), (3, 2), (4, 0), (5, 0), (0, 0)]"
